Designator,Mid X,Mid Y,Rotation,Layer
C1,148.500499,-82.484001,0.0,top
C10,144.690499,-82.484001,0.0,top
C11,160.655,-111.254,180.0,bottom
C12,147.828,-111.134,270.0,bottom
C13,135.763,-111.134,270.0,bottom
C14,123.743,-111.134,270.0,bottom
C15,122.458,-120.214,0.0,top
C16,134.9305,-120.214,0.0,top
C17,149.733,-120.214,0.0,top
C18,159.1905,-120.659,0.0,top
C19,128.778,-87.9692,90.0,top
C2,130.048,-85.099,270.0,top
C20,131.953,-89.8742,90.0,top
C21,139.3455,-77.479,180.0,top
C3,131.953,-85.099,270.0,top
C4,159.3755,-74.304,0.0,bottom
C5,138.340499,-74.229001,270.0,bottom
C6,135.128,-78.749,0.0,top
C7,131.953,-79.384,90.0,top
C8,131.318,-82.559,180.0,top
C9,143.420499,-79.309001,90.0,top
D1,135.128,-73.669,90.0,top
D2,130.048,-75.574,0.0,top
D3,145.325499,-78.674001,270.0,top
D4,167.038,-118.304,90.0,top
F1,131.445,-64.144,270.0,bottom
J1,146.05,-64.525,180.0,bottom
J10,128.778,-132.089,180.0,bottom
J11,133.223,-132.089,180.0,bottom
J12,137.668,-132.089,180.0,bottom
J13,142.113,-132.089,180.0,bottom
J14,168.783,-125.9715,90.0,bottom
J15,164.338,-125.9715,90.0,bottom
J16,159.893,-125.9715,90.0,bottom
J17,155.448,-125.9715,90.0,bottom
J18,151.003,-125.9715,90.0,bottom
J19,146.558,-125.9715,90.0,bottom
J2,168.7576,-132.089,180.0,bottom
J20,142.113,-125.9715,90.0,bottom
J21,137.668,-125.9715,90.0,bottom
J22,133.223,-125.9715,90.0,bottom
J23,128.778,-125.9715,90.0,bottom
J24,123.698,-125.9715,90.0,bottom
J25,119.253,-125.7815,90.0,bottom
J26,146.05,-55.635,0.0,bottom
J3,164.338,-132.089,180.0,bottom
J4,159.893,-132.089,180.0,bottom
J5,155.448,-132.089,180.0,bottom
J6,151.003,-132.089,180.0,bottom
J7,146.558,-132.089,180.0,bottom
J8,119.253,-132.089,180.0,bottom
J9,123.698,-132.089,180.0,bottom
L1,161.23,-86.639,90.0,bottom
L2,161.29,-99.189,90.0,bottom
Q1,146.853001,-74.864001,90.0,bottom
Q2,141.855501,-74.864001,90.0,bottom
Q3,146.595499,-89.469001,270.0,bottom
Q4,150.368,-80.579001,90.0,bottom
Q5,124.333,-93.354,270.0,top
Q6,161.485875,-64.404,90.0,bottom
R1,138.303,-78.749,0.0,top
R10,131.318,-87.9692,0.0,top
R11,145.030501,-78.674001,90.0,bottom
R12,141.220501,-78.674001,270.0,bottom
R13,141.515499,-79.309001,180.0,top
R14,149.098,-87.004,270.0,bottom
R15,144.690499,-83.754001,180.0,bottom
R17,139.610499,-89.469001,180.0,bottom
R19,123.698,-100.974,0.0,top
R2,130.048,-78.749,0.0,top
R20,124.968,-102.879,0.0,top
R21,123.063,-97.799,90.0,top
R22,128.6705,-102.649,270.0,top
R23,156.083,-65.795,0.0,bottom
R24,147.193,-78.749,0.0,bottom
R25,143.383,-78.114,0.0,bottom
R26,151.003,-87.004,270.0,bottom
R27,146.558,-81.924,90.0,bottom
R3,129.413,-80.019,180.0,top
R4,126.238,-81.289,270.0,top
R5,128.143,-83.194,270.0,top
R6,170.053,-118.119,90.0,top
R7,168.148,-120.659,180.0,top
R8,129.413,-91.8092,0.0,top
R9,129.413,-89.8742,180.0,top
S1,120.9105,-82.814,0.0,bottom
U1,137.349899,-83.503999,0.0,top
U2,126.873,-98.434,180.0,top
U3,132.818,-102.559,180.0,top
